counts 77 times
' counts 5 times
, counts 15 times
A counts 1 times
D counts 1 times
E counts 1 times
H counts 1 times
I counts 2 times
L counts 1 times
N counts 1 times
O counts 2 times
R counts 1 times
W counts 1 times
[ counts 1 times
] counts 1 times
a counts 21 times
b counts 6 times
c counts 8 times
d counts 8 times
e counts 32 times
f counts 7 times
g counts 9 times
h counts 16 times
i counts 18 times
k counts 4 times
l counts 9 times
m counts 10 times
n counts 27 times
o counts 33 times
p counts 4 times
r counts 15 times
s counts 23 times
t counts 28 times
u counts 13 times
v counts 2 times
w counts 10 times
y counts 11 times
